               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.024768,           0.0061874,           0.0010224,             0.97807,             0.97397,             0.98731,             0.69895,            0.022774,           0.0056494,          0.00053265,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024718,           0.0061603,           0.0011188,             0.96774,             0.98166,             0.98896,             0.68604,            0.022658,           0.0056416,          0.00045672,            0.004951,            0.004951,            0.004951
                 104,             0.02443,           0.0062682,          0.00092742,              0.9766,             0.96925,              0.9905,              0.6888,            0.022552,            0.005521,          0.00039432,           0.0049015,           0.0049015,           0.0049015
                 105,            0.024142,           0.0061417,          0.00080297,             0.96404,             0.95961,             0.97879,             0.65335,            0.025049,           0.0062033,          0.00054956,            0.004852,            0.004852,            0.004852
                 106,            0.024575,           0.0062353,          0.00089288,             0.97648,             0.96502,              0.9873,             0.68149,            0.023468,           0.0056959,          0.00043271,           0.0048025,           0.0048025,           0.0048025
                 107,            0.024073,           0.0062019,          0.00064072,             0.97928,             0.98018,             0.98839,             0.70326,            0.022268,           0.0054571,          0.00039059,            0.004753,            0.004753,            0.004753
                 108,            0.023738,           0.0061146,          0.00067439,             0.98077,             0.98814,             0.99091,              0.7043,            0.021765,           0.0054365,          0.00037616,           0.0047035,           0.0047035,           0.0047035
                 109,            0.024106,           0.0061001,          0.00070417,              0.9793,             0.97597,             0.98917,              0.7116,            0.022132,           0.0055005,          0.00039362,            0.004654,            0.004654,            0.004654
                 110,            0.024311,           0.0062259,          0.00086573,             0.97839,             0.97674,             0.99111,             0.72125,            0.021858,           0.0053488,          0.00039163,           0.0046045,           0.0046045,           0.0046045
                 111,            0.023945,           0.0059856,            0.000766,             0.97857,             0.97899,              0.9904,             0.68938,            0.022296,           0.0054954,          0.00041783,            0.004555,            0.004555,            0.004555
                 112,            0.023729,           0.0061263,          0.00067869,             0.97672,             0.96786,               0.983,              0.6841,             0.02311,           0.0057735,          0.00059175,           0.0045055,           0.0045055,           0.0045055
                 113,            0.023793,           0.0060762,          0.00070605,             0.98173,             0.98453,             0.99129,             0.70771,            0.021938,           0.0054196,          0.00033039,            0.004456,            0.004456,            0.004456
                 114,            0.023632,           0.0060151,          0.00066574,             0.98114,             0.98253,             0.99128,             0.70294,            0.021493,            0.005355,          0.00036021,           0.0044065,           0.0044065,           0.0044065
                 115,            0.024332,           0.0060812,          0.00073871,             0.98134,             0.98366,             0.99047,             0.70942,            0.021672,           0.0053945,          0.00041915,            0.004357,            0.004357,            0.004357
                 116,            0.023899,           0.0061141,           0.0008981,             0.97245,             0.98762,             0.98941,             0.70684,            0.021771,            0.005405,          0.00057809,           0.0043075,           0.0043075,           0.0043075
                 117,            0.023646,             0.00618,          0.00057088,             0.98041,             0.97857,             0.99111,             0.70168,            0.021824,           0.0053682,          0.00033915,            0.004258,            0.004258,            0.004258
                 118,            0.023377,            0.006081,          0.00083319,             0.97298,             0.98065,             0.98955,             0.70236,             0.02244,           0.0055046,          0.00040605,           0.0042085,           0.0042085,           0.0042085
                 119,            0.023274,           0.0061105,           0.0013455,             0.97957,               0.982,             0.99111,             0.70531,            0.021528,           0.0053783,            0.000458,            0.004159,            0.004159,            0.004159
                 120,            0.023145,           0.0062148,          0.00060712,             0.96909,             0.98674,             0.99006,             0.68769,            0.022335,           0.0055304,          0.00034228,           0.0041095,           0.0041095,           0.0041095
                 121,            0.023055,           0.0058925,           0.0007775,             0.96898,             0.97067,             0.98938,             0.68557,            0.023713,           0.0057671,          0.00047366,             0.00406,             0.00406,             0.00406
                 122,            0.023512,            0.006022,          0.00075311,             0.96702,             0.98986,             0.99092,             0.69782,            0.021632,           0.0054812,          0.00040588,           0.0040105,           0.0040105,           0.0040105
                 123,            0.023583,           0.0060402,          0.00073521,             0.97974,             0.98021,             0.99143,              0.7085,            0.021425,           0.0053935,          0.00040141,            0.003961,            0.003961,            0.003961
                 124,            0.023379,           0.0060403,          0.00077244,             0.97757,             0.98692,             0.99132,             0.70626,            0.021428,           0.0054066,           0.0003437,           0.0039115,           0.0039115,           0.0039115
                 125,            0.023278,           0.0058844,          0.00057981,             0.97588,             0.98695,             0.99119,              0.7134,            0.021418,           0.0053435,          0.00033621,            0.003862,            0.003862,            0.003862
                 126,            0.022578,           0.0058078,           0.0008207,             0.98219,             0.98206,              0.9903,             0.71124,            0.021533,           0.0053431,           0.0003828,           0.0038125,           0.0038125,           0.0038125
                 127,              0.0229,           0.0059443,          0.00059711,             0.98096,             0.98458,             0.99153,             0.70658,            0.021348,           0.0053138,          0.00029247,            0.003763,            0.003763,            0.003763
                 128,            0.023027,            0.005986,           0.0006573,             0.98271,              0.9827,             0.99087,             0.71423,            0.021652,           0.0053449,          0.00030698,           0.0037135,           0.0037135,           0.0037135
                 129,            0.022748,           0.0060418,          0.00059216,             0.96311,              0.9828,             0.98988,             0.70007,            0.022033,           0.0053897,          0.00033147,            0.003664,            0.003664,            0.003664
                 130,            0.022462,           0.0058359,          0.00067437,             0.98149,             0.98147,             0.99077,             0.70856,            0.021365,           0.0053021,          0.00031425,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022817,           0.0057526,          0.00071084,             0.97944,             0.98229,             0.98873,             0.71537,            0.021204,           0.0054477,          0.00032163,            0.003565,            0.003565,            0.003565
                 132,             0.02291,           0.0060686,          0.00073745,              0.9809,             0.98919,             0.98972,             0.71527,            0.021245,           0.0053189,          0.00033026,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022926,           0.0059921,          0.00096297,              0.9728,             0.98203,             0.98872,             0.71562,            0.021451,           0.0054482,          0.00033591,            0.003466,            0.003466,            0.003466
                 134,            0.022198,           0.0058879,          0.00061116,             0.97856,             0.98392,             0.99013,             0.70949,            0.021756,           0.0054376,          0.00029484,           0.0034165,           0.0034165,           0.0034165
                 135,            0.022981,           0.0059482,          0.00075173,             0.97957,             0.98633,             0.98994,             0.71505,            0.021503,           0.0053857,           0.0003134,            0.003367,            0.003367,            0.003367
                 136,            0.022473,            0.005732,          0.00066068,             0.98012,             0.98383,             0.99101,             0.71329,            0.021313,           0.0053096,          0.00027944,           0.0033175,           0.0033175,           0.0033175
                 137,            0.022194,           0.0057378,          0.00065417,             0.97746,             0.98521,               0.991,              0.7172,            0.021276,           0.0052702,          0.00029327,            0.003268,            0.003268,            0.003268
                 138,            0.022484,           0.0058874,          0.00059615,             0.97295,             0.98998,             0.99149,             0.71049,            0.021368,           0.0052578,          0.00029369,           0.0032185,           0.0032185,           0.0032185
                 139,            0.022156,           0.0058097,          0.00048325,             0.97654,             0.98523,             0.99063,             0.71003,            0.021332,           0.0052343,          0.00026382,            0.003169,            0.003169,            0.003169
                 140,            0.022505,           0.0060412,           0.0006947,             0.97259,             0.98565,             0.99095,              0.7146,            0.021259,           0.0053502,          0.00035747,           0.0031195,           0.0031195,           0.0031195
                 141,            0.022201,           0.0057757,           0.0005173,             0.97239,             0.98375,             0.99066,             0.71386,            0.021766,           0.0053482,          0.00026017,             0.00307,             0.00307,             0.00307
                 142,            0.022272,           0.0057647,          0.00048809,             0.97871,             0.98543,             0.99078,             0.70532,            0.021361,           0.0053278,          0.00025565,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021843,           0.0058001,          0.00059055,             0.97405,                0.99,             0.99161,             0.70683,            0.021157,           0.0052624,          0.00030432,            0.002971,            0.002971,            0.002971
                 144,            0.021992,           0.0057807,          0.00056168,             0.97637,             0.98579,             0.99114,             0.71085,            0.021662,           0.0054314,          0.00026918,           0.0029215,           0.0029215,           0.0029215
                 145,            0.022363,           0.0058712,          0.00075724,             0.97721,             0.98493,             0.99084,             0.71716,            0.021095,           0.0052975,          0.00031745,            0.002872,            0.002872,            0.002872
                 146,            0.022212,           0.0056322,          0.00068441,             0.97455,             0.98888,             0.99125,             0.72069,            0.021039,           0.0052837,          0.00027497,           0.0028225,           0.0028225,           0.0028225
                 147,             0.02187,           0.0055054,          0.00061423,             0.97336,             0.98763,             0.99064,              0.7163,             0.02142,           0.0053412,          0.00030063,            0.002773,            0.002773,            0.002773
                 148,            0.021799,            0.005716,          0.00064564,             0.97818,             0.98406,             0.99074,             0.71531,            0.021299,           0.0052713,          0.00033495,           0.0027235,           0.0027235,           0.0027235
                 149,            0.021965,           0.0057756,          0.00069288,             0.97266,             0.98886,             0.99088,             0.70748,            0.021646,           0.0053494,          0.00037582,            0.002674,            0.002674,            0.002674
                 150,            0.021617,           0.0056117,          0.00067277,             0.97964,             0.98768,             0.98993,             0.71343,            0.021495,           0.0052742,          0.00028922,           0.0026245,           0.0026245,           0.0026245
                 151,            0.021471,           0.0056861,          0.00055835,             0.97777,             0.98925,             0.99093,             0.71911,            0.020986,           0.0052425,          0.00026034,            0.002575,            0.002575,            0.002575
                 152,            0.021867,           0.0056711,          0.00046404,             0.97475,              0.9868,             0.99111,             0.71797,             0.02103,           0.0052325,           0.0002444,           0.0025255,           0.0025255,           0.0025255
